product_id,product_name,category,subcategory,brand,model,description,unit_cost,unit_price,margin_percent,supplier_id,weight_kg,dimensions_cm,color,material,warranty_months,launch_date,status,inventory_count,reorder_level,last_updated
PROD018,Mountain Bike,Sports,Cycling,RideTech,RT-MB-Pro,Professional mountain bike with carbon frame,650.00,1299.99,50.00,SUP015,12.5,Medium Frame,Matte Black,Carbon Fiber,36,2023-08-01,Active,35,5,2024-01-29
PROD019,Cloud Computing Guide,Books,Technical,TechBooks,TB-CCG-2024,Comprehensive guide to cloud architecture and deployment,28.00,69.99,60.01,SUP016,0.9,23x15x3.5,Blue,Paper,0,2024-01-12,Active,280,35,2024-01-29
PROD020,Gaming Laptop,Electronics,Computers,GameTech,GT-GL-2024,High-performance gaming laptop with RTX graphics,800.00,1599.99,50.00,SUP017,2.8,35x25x2.5,RGB Black,Aluminum,24,2023-12-20,Active,75,10,2024-01-29
PROD021,Smart Thermostat,Home & Garden,HVAC,ClimateTech,CT-ST-2024,WiFi-enabled smart thermostat with learning capabilities,89.50,199.99,55.24,SUP018,0.4,12x8x3,White,Plastic,60,2023-10-25,Active,140,15,2024-01-29
PROD022,Running Shoes Pro,Sports,Running,RunFast,RF-RSP-2024,Professional running shoes with advanced cushioning,75.00,149.99,50.00,SUP019,0.28,Size 10,Neon Green,Synthetic,6,2023-11-15,Active,190,25,2024-01-29
PROD023,Business Analytics,Books,Business,BizPress,BP-BA-2024,Essential guide to business analytics and data-driven decisions,32.00,79.99,60.01,SUP020,0.7,22x14x2.8,Black,Paper,0,2024-01-15,Active,160,20,2024-01-29
PROD024,Smart Watch Series X,Electronics,Wearables,TechCorp,TCWS-X-2024,Advanced smartwatch with health monitoring and GPS,225.00,449.99,50.00,SUP001,0.08,4.5x3.8x1.2,Titanium,Titanium/Ceramic,24,2024-01-01,Active,310,35,2024-01-29
PROD025,Professional Suit,Clothing,Formal,EliteWear,EW-PS-2024,Tailored professional suit for business occasions,200.00,399.99,50.00,SUP021,1.2,42R,Charcoal Gray,Wool,6,2023-09-15,Active,95,12,2024-01-29
PROD026,Garden Tool Set,Home & Garden,Gardening,GreenThumb,GT-GTS-2024,Complete 10-piece garden tool set with storage case,65.00,129.99,50.00,SUP022,3.8,Case 45x30x15,Green/Black,Steel/Plastic,12,2023-08-20,Active,110,15,2024-01-29
PROD027,Basketball Premium,Sports,Basketball,SportsPro,SP-BP-2024,Official size basketball with premium leather construction,45.00,89.99,50.01,SUP004,0.6,Diameter 24cm,Orange,Leather,6,2023-10-10,Active,250,30,2024-01-29
PROD028,Digital Marketing,Books,Marketing,MarketPress,MP-DM-2024,Modern guide to digital marketing strategies and tools,22.00,54.99,60.01,SUP023,0.6,21x14x2.5,Orange,Paper,0,2024-01-18,Active,200,25,2024-01-29
